#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  1.65 11.76  6.92 264 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  1.60 14.29  6.97 241 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  1.72 11.76  7.04 265 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  1.54 14.29  6.07 234 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  1.70 14.29  6.19 237 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  1.76 15.38  6.30 252 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  1.90 11.76  6.23 272 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  1.92 11.76  5.84 262 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  1.97 15.38  5.58 254 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  2.14  5.26  5.73 213 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  2.14 14.29  5.87 251 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  2.18 11.11  5.80 272 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  2.23 11.11  5.83 275 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  2.37 10.53  5.91 269 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  2.33  6.25  6.08 254 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  2.40  6.25  5.98 248 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  2.56  6.25  5.94 254 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  2.65  6.67  6.05 258 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  2.74  6.67  6.17 264 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  2.82  6.67  6.27 267 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  2.98  6.67  6.28 268 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  3.11  7.14  6.41 260 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  3.01  7.14  6.39 274 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  3.13  6.25  6.71 265 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  2.98  7.69  6.52 272 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  2.92  7.69  6.86 272 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  2.85  7.69  6.80 278 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  2.97  9.09  6.99 283 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 14 26 999 99.0 99.0  2.85  9.09  6.94 281 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 14 56 999 99.0 99.0  2.81  9.88  7.02 278 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 15 26 999 99.0 99.0  3.13  8.33  7.03 279 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 15 56 999 99.0 99.0  3.05  9.09  6.96 279 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 16 26 999 99.0 99.0  2.92  9.88  6.84 278 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 16 56 999 99.0 99.0  3.02  9.09  7.01 276 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 01 17 26 999 99.0 99.0  3.19  9.09  6.94 278 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 01 17 56 999 99.0 99.0  2.97  9.88  7.04 276 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 01 18 26 999 99.0 99.0  3.20  9.88  6.84 282 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 18 56 999 99.0 99.0  3.11  9.88  7.11 282 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 19 26 999 99.0 99.0  3.25  7.69  7.06 276 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 19 56 999 99.0 99.0  3.26  9.88  6.94 274 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 20 26 999 99.0 99.0  3.06  9.88  6.60 278 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 20 56 999 99.0 99.0  3.05 11.11  6.82 271 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 21 26 999 99.0 99.0  3.24  9.88  7.02 282 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 21 56 999 99.0 99.0  2.99 11.76  6.85 274 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 22 26 999 99.0 99.0  3.03 11.11  6.67 276 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 22 56 999 99.0 99.0  3.02 10.53  6.77 275 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 23 26 999 99.0 99.0  3.00 14.29  6.98 261 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 01 23 56 999 99.0 99.0  3.01 14.29  7.04 269 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 02 00 26 999 99.0 99.0  2.99  9.88  6.84 275 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 02 00 56 999 99.0 99.0  2.89 11.76  6.89 281 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 02 01 26 999 99.0 99.0  3.12 12.50  7.00 278 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 02 01 56 999 99.0 99.0  2.96 11.11  6.93 278 9999.0 999.0  14.8 999.0 99.0 99.00
