#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 01 56 999 99.0 99.0  4.34 11.11  8.18 290 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 02 26 999 99.0 99.0  4.22 10.53  7.83 303 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 02 56 999 99.0 99.0  4.25 11.11  7.98 306 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 02 03 26 999 99.0 99.0  4.25 11.11  8.05 305 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 02 03 56 999 99.0 99.0  4.35  9.88  8.14 307 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 02 04 26 999 99.0 99.0  4.41 10.53  8.07 302 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 04 56 999 99.0 99.0  4.44 10.53  8.23 293 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 05 26 999 99.0 99.0  3.91 11.11  8.02 299 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 06 26 999 99.0 99.0  4.13 11.76  8.36 302 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 06 56 999 99.0 99.0  3.96 11.11  8.07 300 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 07 26 999 99.0 99.0  3.63 13.33  8.04 295 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 07 56 999 99.0 99.0  4.06 14.29  8.31 290 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 08 26 999 99.0 99.0  4.03 10.53  8.55 299 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 08 56 999 99.0 99.0  4.17 10.53  8.54 297 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 09 26 999 99.0 99.0  3.95 12.50  8.46 293 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 09 56 999 99.0 99.0  3.70 13.33  8.00 289 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 02 10 26 999 99.0 99.0  3.67 10.53  8.12 297 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 02 10 56 999 99.0 99.0  3.47 13.33  8.27 290 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 02 11 26 999 99.0 99.0  3.36 14.29  8.28 288 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 02 11 56 999 99.0 99.0  3.67 14.29  8.56 283 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 12 26 999 99.0 99.0  3.25 14.29  8.33 286 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 12 56 999 99.0 99.0  3.09 14.29  8.19 286 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 13 26 999 99.0 99.0  3.08 13.33  8.31 288 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 13 56 999 99.0 99.0  3.14 13.33  8.45 278 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 14 26 999 99.0 99.0  2.93 10.53  8.29 292 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 14 56 999 99.0 99.0  3.15 11.76  8.49 306 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 15 26 999 99.0 99.0  2.98 11.76  8.53 292 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 15 56 999 99.0 99.0  2.89 12.50  8.32 285 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 16 26 999 99.0 99.0  2.58 13.33  8.06 288 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 16 56 999 99.0 99.0  2.68  9.88  8.08 293 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 17 26 999 99.0 99.0  2.63 10.53  8.43 306 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 17 56 999 99.0 99.0  2.61 13.33  8.59 278 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 18 26 999 99.0 99.0  2.73 11.76  8.58 286 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 18 56 999 99.0 99.0  2.45 14.29  8.15 279 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 02 19 26 999 99.0 99.0  2.59 13.33  8.59 278 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 02 19 56 999 99.0 99.0  2.53 14.29  8.55 292 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 02 20 26 999 99.0 99.0  2.43 11.11  8.23 297 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 02 20 56 999 99.0 99.0  2.68 13.33  8.73 293 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 21 26 999 99.0 99.0  2.30 14.29  8.17 282 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 21 56 999 99.0 99.0  2.42 13.33  8.66 278 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 02 22 26 999 99.0 99.0  2.32 13.33  8.35 289 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 22 56 999 99.0 99.0  2.35 13.33  8.47 290 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 02 23 26 999 99.0 99.0  2.39 13.33  8.78 296 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 02 23 56 999 99.0 99.0  2.51 13.33  8.94 281 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 00 26 999 99.0 99.0  2.30 13.33  8.58 278 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 00 56 999 99.0 99.0  2.48 13.33  8.89 296 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 01 26 999 99.0 99.0  2.36 13.33  8.92 288 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 01 56 999 99.0 99.0  2.21 15.38  8.79 283 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 02 26 999 99.0 99.0  2.27 14.29  9.22 279 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 02 56 999 99.0 99.0  2.32 13.33  9.56 282 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 03 26 999 99.0 99.0  2.31 12.50  9.40 296 9999.0 999.0  13.9 999.0 99.0 99.00
