#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  1.10 14.29  9.14 198 9999.0 999.0  16.1 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  1.22 11.76  9.01 273 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  1.31 11.11  9.53 268 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  1.30 14.29  9.54 209 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  1.25 14.29  9.00 206 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  1.32 14.29  8.66 215 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  1.32 15.38  7.70 209 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  1.34 13.33  6.94 239 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  1.38 14.29  6.68 208 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  1.55 14.29  6.77 212 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  1.42 11.11  6.05 264 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  1.58 13.33  5.99 219 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  1.53 14.29  5.59 221 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  1.68 13.33  5.55 228 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  1.80 14.29  5.73 216 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  1.76 13.33  5.41 229 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  1.81 15.38  5.78 256 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  1.93  5.00  5.42 176 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  1.94  5.00  5.41 174 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  1.86  5.00  5.25 180 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  1.94  5.26  5.41 181 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  1.92 14.29  5.94 197 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  1.81 13.33  5.25 243 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  1.79 14.29  5.13 222 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  2.05 13.33  5.54 230 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  2.07 14.29  5.77 242 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  2.04 14.29  5.57 250 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  2.14 14.29  5.80 253 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 14 26 999 99.0 99.0  2.01  5.26  5.40 243 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 14 56 999 99.0 99.0  2.38 14.29  5.67 240 9999.0 999.0  15.7 999.0 99.0 99.00
2023 01 01 15 26 999 99.0 99.0  2.44  6.25  5.65 271 9999.0 999.0  15.6 999.0 99.0 99.00
2023 01 01 15 56 999 99.0 99.0  2.76  6.25  5.81 275 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 16 26 999 99.0 99.0  2.91  7.14  6.15 281 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 16 56 999 99.0 99.0  3.08  6.67  6.23 280 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 17 26 999 99.0 99.0  3.29  7.69  6.63 282 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 17 56 999 99.0 99.0  3.46  8.33  6.81 288 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 18 26 999 99.0 99.0  3.46  8.33  6.93 289 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 18 56 999 99.0 99.0  3.47  8.33  6.82 291 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 19 26 999 99.0 99.0  3.60  9.09  7.21 284 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 19 56 999 99.0 99.0  3.37  7.69  7.07 289 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 20 26 999 99.0 99.0  3.81  8.33  7.29 288 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 20 56 999 99.0 99.0  3.30  7.69  6.79 285 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 21 26 999 99.0 99.0  3.42  8.33  6.78 292 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 21 56 999 99.0 99.0  3.32  9.09  6.85 275 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 01 22 26 999 99.0 99.0  3.39  9.88  7.05 275 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 01 22 56 999 99.0 99.0  3.50  9.09  7.15 282 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 01 23 26 999 99.0 99.0  3.33  9.09  7.13 281 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 01 23 56 999 99.0 99.0  3.58  9.09  7.07 284 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 02 00 26 999 99.0 99.0  3.52  8.33  7.25 288 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 02 00 56 999 99.0 99.0  3.55  8.33  7.20 284 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 01 26 999 99.0 99.0  3.60  9.09  7.33 285 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 01 56 999 99.0 99.0  3.67  9.88  7.44 275 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 02 26 999 99.0 99.0  3.70  9.09  7.27 288 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 02 56 999 99.0 99.0  3.54  9.09  7.28 285 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 03 26 999 99.0 99.0  3.56  9.09  7.12 284 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 03 56 999 99.0 99.0  3.66  9.09  7.36 282 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 04 26 999 99.0 99.0  3.52  7.69  7.22 284 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 04 56 999 99.0 99.0  3.53  9.88  7.22 273 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 05 26 999 99.0 99.0  3.44  9.88  7.24 281 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 05 56 999 99.0 99.0  3.59  9.88  7.58 278 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 06 26 999 99.0 99.0  3.38  9.88  7.43 273 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 06 56 999 99.0 99.0  3.34 10.53  7.51 277 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 07 26 999 99.0 99.0  3.30  9.88  7.42 280 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 07 56 999 99.0 99.0  3.34  9.88  7.58 281 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 08 26 999 99.0 99.0  3.19  8.33  7.47 289 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 02 08 56 999 99.0 99.0  3.09  9.09  7.42 284 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 02 09 26 999 99.0 99.0  3.16 11.11  7.52 274 9999.0 999.0  14.8 999.0 99.0 99.00
2023 01 02 09 56 999 99.0 99.0  3.02 10.53  7.56 271 9999.0 999.0  14.8 999.0 99.0 99.00
