#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  1.00 11.76  7.17 267 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  0.94 12.50  6.32 264 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  1.00 14.29  6.98 212 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  1.07 15.38  7.40 212 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  1.11 11.76  6.50 271 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  1.10 12.50  5.84 258 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  1.17 14.29  5.35 217 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  1.26 10.53  4.99 267 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  1.31  9.88  4.94 268 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  1.38 14.29  4.80 216 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  1.41  4.55  4.85 174 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  1.38  4.55  4.76 174 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  1.53 14.29  5.12 226 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  1.42  5.00  4.80 178 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  1.58  5.26  5.01 174 9999.0 999.0  15.7 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  1.58  4.76  4.91 165 9999.0 999.0  15.6 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  1.56  5.00  5.15 167 9999.0 999.0  15.6 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  1.55  5.00  4.81 171 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  1.58  5.26  4.84 171 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  1.75  5.26  5.00 200 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  1.75  5.00  4.97 229 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  1.90  5.56  5.25 240 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  1.95  5.56  5.37 243 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  1.96  6.25  5.48 272 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  2.17  6.67  5.75 271 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  2.36  7.14  5.96 272 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  2.42  7.14  6.10 274 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  2.34  7.14  6.03 272 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 01 14 26 999 99.0 99.0  2.59  7.14  6.31 271 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 01 14 56 999 99.0 99.0  3.00  8.33  6.58 269 9999.0 999.0  15.1 999.0 99.0 99.00
